,Application,Actual Extension
0,git,git
1,git terminal,git
2,git bash,git
3,python3,python3
4,python2,python
5,python,python
6,ping,ping
7,notepad,notepad
8,Camera,microsoft.windows.camera:
9,3d builder,com.microsoft.builder3d:
10,action center,ms-actioncenter:
11,alarm,ms-clock:
12,clock,ms-clock:
13,alarms and clock,ms-clock:
14,available wifi connections,ms-availablenetworks:
15,wifi networks,ms-availablenetworks:
16,available networks,ms-availablenetworks:
17,calculator,calculator:
18,calendar,outlookcal:
19,candy crush,candycrushsodasaga:
20,candy crush soda saga,candycrushsodasaga:
21,connect,ms-projection:
22,cortana,ms-cortana:
23,cortana connected services,ms-cortana://notebook/?ConnectedServices
24,cortana personal information,ms-cortana://settings/ManageBingProfile
25,device discovery,ms-settings-connectabledevices:devicediscovery
26,drawboard pdf,drawboardpdf:
27,facebook,fb:
28,feedback hub,feedback-hub:
29,contact support,ms-contact-support:
30,get help,ms-contact-support:
31,groove music,mswindowsmusic:
32,mail,outlookmail:
33,maps,ms-walk-to:
34,bing maps,bingmaps:
35,windows maps,ms-drive-to:
36,chat,ms-chat:
37,microsoft chat,ms-chat:
38,messaging,ms-chat:
39,edge,microsoft-edge:
40,microsoft edge,microsoft-edge:
41,news,bingnews:
42,microsoft news,bingnews:
43,solitaire,xboxliveapp-1297287741:
44,microsoft solitaire collection,xboxliveapp-1297287741:
45,store,ms-windows-store:
46,microsoft store,ms-windows-store:
47,microsoft music,microsoftmusic:
48,microsoft store - music,microsoftmusic:
49,microsoft store  movies and tv,microsoftvideo:
50,whiteboard,ms-whiteboard-cmd:
51,microsoft whiteboard,ms-whiteboard-cmd:
52,minecraft,minecraft:
53,reality camera,ms-holocamera:
54,holo camera,ms-holocamera:
55,mixed reality camera,ms-holocamera:
56,reality portal,ms-holographicfirstrun:
57,mixed reality portal,ms-holographicfirstrun:
58,movies,mswindowsvideo:
59,tv,mswindowsvideo:
60,movies and tv,mswindowsvideo:
61,onenote,onenote:
62,paint,ms-paint:
63,paint 3d,ms-paint:
64,people,ms-people:
65,photos,ms-photos:
66,project display,ms-settings-displays-topology:projection
67,settings,ms-settings:
68,tips,ms-get-started:
69,twitter,twitter:
70,3d viewer,com.microsoft.3dviewer:
71,view 3d preview,com.microsoft.3dviewer:
72,recorder,ms-callrecording:
73,voice recorder,ms-callrecording:
74,weather,bingweather:
75,windows mixed reality environments,ms-environment-builder:
76,parental controls,ms-wpc:
77,windows parental controls,ms-wpc:
78,security,windowsdefender:
79,windows security,windowsdefender:
80,xbox,xbox:
81,xbox  friends list,xbox-friendfinder:
82,xbox profile page,xbox-profile:
83,xbox network settings,xbox-network:
84,xbox settings,xbox-settings:
85,xbox one smartglass,smartglass:
0,python,python.exe
1,pythonw,pythonw.exe
2,anyconfig_cli,anyconfig_cli.exe
3,chardetect,chardetect.exe
4,cygdb,cygdb.exe
5,cython,cython.exe
6,cythonize,cythonize.exe
7,easy_install-2,easy_install-2.7.exe
8,easy_install,easy_install.exe
9,f2py,f2py.exe
10,flask,flask.exe
11,futurize,futurize.exe
12,googleimagesdownload,googleimagesdownload.exe
13,gtts-cli,gtts-cli.exe
14,pasteurize,pasteurize.exe
15,pip,pip.exe
16,pip2,pip2.7.exe
17,pip2,pip2.exe
18,tts-watson,tts-watson.exe
19,youtube-dl,youtube-dl.exe
20,mpiexec,mpiexec.exe
21,msmpilaunchsvc,msmpilaunchsvc.exe
22,smpd,smpd.exe
23,java,java.exe
24,javaw,javaw.exe
25,javaws,javaws.exe
26,agentactivationruntimestarter,agentactivationruntimestarter.exe
27,AgentService,AgentService.exe
28,aitstatic,aitstatic.exe
29,alg,alg.exe
30,AppHostRegistrationVerifier,AppHostRegistrationVerifier.exe
31,appidcertstorecheck,appidcertstorecheck.exe
32,appidpolicyconverter,appidpolicyconverter.exe
33,appidtel,appidtel.exe
34,ApplicationFrameHost,ApplicationFrameHost.exe
35,ApplySettingsTemplateCatalog,ApplySettingsTemplateCatalog.exe
36,ApplyTrustOffline,ApplyTrustOffline.exe
37,ApproveChildRequest,ApproveChildRequest.exe
38,AppVClient,AppVClient.exe
39,AppVDllSurrogate,AppVDllSurrogate.exe
40,appverif,appverif.exe
41,AppVNice,AppVNice.exe
42,AppVShNotify,AppVShNotify.exe
43,ARP,ARP.EXE
44,at,at.exe
45,AtBroker,AtBroker.exe
46,attrib,attrib.exe
47,audiodg,audiodg.exe
48,auditpol,auditpol.exe
49,AuthHost,AuthHost.exe
50,autochk,autochk.exe
51,autoconv,autoconv.exe
52,autofmt,autofmt.exe
53,AxInstUI,AxInstUI.exe
54,baaupdate,baaupdate.exe
55,backgroundTaskHost,backgroundTaskHost.exe
56,BackgroundTransferHost,BackgroundTransferHost.exe
57,bcdboot,bcdboot.exe
58,bcdedit,bcdedit.exe
59,bdechangepin,bdechangepin.exe
60,BdeHdCfg,BdeHdCfg.exe
61,BdeUISrv,BdeUISrv.exe
62,bdeunlock,bdeunlock.exe
63,BioIso,BioIso.exe
64,BitLockerDeviceEncryption,BitLockerDeviceEncryption.exe
65,BitLockerWizard,BitLockerWizard.exe
66,BitLockerWizardElev,BitLockerWizardElev.exe
67,bitsadmin,bitsadmin.exe
68,bootcfg,bootcfg.exe
69,bootim,bootim.exe
70,bootsect,bootsect.exe
71,bridgeunattend,bridgeunattend.exe
72,browserexport,browserexport.exe
73,browser_broker,browser_broker.exe
74,bthudtask,bthudtask.exe
75,ByteCodeGenerator,ByteCodeGenerator.exe
76,cacls,cacls.exe
77,calc,calc.exe
78,CameraSettingsUIHost,CameraSettingsUIHost.exe
79,CastSrv,CastSrv.exe
80,CertEnrollCtrl,CertEnrollCtrl.exe
81,certreq,certreq.exe
82,certutil,certutil.exe
83,change,change.exe
84,changepk,changepk.exe
85,charmap,charmap.exe
86,CheckNetIsolation,CheckNetIsolation.exe
87,chglogon,chglogon.exe
88,chgport,chgport.exe
89,chgusr,chgusr.exe
90,chkdsk,chkdsk.exe
91,chkntfs,chkntfs.exe
92,choice,choice.exe
93,CIDiag,CIDiag.exe
94,cipher,cipher.exe
95,cleanmgr,cleanmgr.exe
96,cliconfg,cliconfg.exe
97,clip,clip.exe
98,ClipRenew,ClipRenew.exe
99,ClipUp,ClipUp.exe
100,CloudExperienceHostBroker,CloudExperienceHostBroker.exe
101,CloudNotifications,CloudNotifications.exe
102,cmd,cmd.exe
103,cmdkey,cmdkey.exe
104,cmdl32,cmdl32.exe
105,cmmon32,cmmon32.exe
106,cmstp,cmstp.exe
107,cofire,cofire.exe
108,colorcpl,colorcpl.exe
109,comp,comp.exe
110,compact,compact.exe
111,CompatTelRunner,CompatTelRunner.exe
112,CompMgmtLauncher,CompMgmtLauncher.exe
113,CompPkgSrv,CompPkgSrv.exe
114,ComputerDefaults,ComputerDefaults.exe
115,conhost,conhost.exe
116,consent,consent.exe
117,control,control.exe
118,convert,convert.exe
119,convertvhd,convertvhd.exe
120,coredpussvr,coredpussvr.exe
121,CredentialEnrollmentManager,CredentialEnrollmentManager.exe
122,CredentialUIBroker,CredentialUIBroker.exe
123,credwiz,credwiz.exe
124,cscript,cscript.exe
125,csrss,csrss.exe
126,ctfmon,ctfmon.exe
127,cttune,cttune.exe
128,cttunesvr,cttunesvr.exe
129,curl,curl.exe
130,CustomInstallExec,CustomInstallExec.exe
131,dasHost,dasHost.exe
132,DataExchangeHost,DataExchangeHost.exe
133,DataStoreCacheDumpTool,DataStoreCacheDumpTool.exe
134,DataUsageLiveTileTask,DataUsageLiveTileTask.exe
135,dccw,dccw.exe
136,dcomcnfg,dcomcnfg.exe
137,ddodiag,ddodiag.exe
138,Defrag,Defrag.exe
139,deploymentcsphelper,deploymentcsphelper.exe
140,desktopimgdownldr,desktopimgdownldr.exe
141,DeviceCensus,DeviceCensus.exe
142,DeviceCredentialDeployment,DeviceCredentialDeployment.exe
143,DeviceEject,DeviceEject.exe
144,DeviceEnroller,DeviceEnroller.exe
145,DevicePairingWizard,DevicePairingWizard.exe
146,DeviceProperties,DeviceProperties.exe
147,DFDWiz,DFDWiz.exe
148,dfrgui,dfrgui.exe
149,dialer,dialer.exe
150,directxdatabaseupdater,directxdatabaseupdater.exe
151,diskpart,diskpart.exe
152,diskperf,diskperf.exe
153,diskraid,diskraid.exe
154,DiskSnapshot,DiskSnapshot.exe
155,Dism,Dism.exe
156,dispdiag,dispdiag.exe
157,DisplaySwitch,DisplaySwitch.exe
158,djoin,djoin.exe
159,dllhost,dllhost.exe
160,dllhst3g,dllhst3g.exe
161,dmcertinst,dmcertinst.exe
162,dmcfghost,dmcfghost.exe
163,dmclient,dmclient.exe
164,DmNotificationBroker,DmNotificationBroker.exe
165,DmOmaCpMo,DmOmaCpMo.exe
166,dnscacheugc,dnscacheugc.exe
167,doskey,doskey.exe
168,dpapimig,dpapimig.exe
169,DpiScaling,DpiScaling.exe
170,dpnsvr,dpnsvr.exe
171,driverquery,driverquery.exe
172,drvcfg,drvcfg.exe
173,drvinst,drvinst.exe
174,DsmUserTask,DsmUserTask.exe
175,dsregcmd,dsregcmd.exe
176,dstokenclean,dstokenclean.exe
177,DTUHandler,DTUHandler.exe
178,dusmtask,dusmtask.exe
179,dvdplay,dvdplay.exe
180,dwm,dwm.exe
181,DWWIN,DWWIN.EXE
182,DXCap,DXCap.exe
183,DXCpl,DXCpl.exe
184,dxdiag,dxdiag.exe
185,dxgiadaptercache,dxgiadaptercache.exe
186,Dxpserver,Dxpserver.exe
187,Eap3Host,Eap3Host.exe
188,EaseOfAccessDialog,EaseOfAccessDialog.exe
189,easinvoker,easinvoker.exe
190,EASPolicyManagerBrokerHost,EASPolicyManagerBrokerHost.exe
191,EDPCleanup,EDPCleanup.exe
192,edpnotify,edpnotify.exe
193,EduPrintProv,EduPrintProv.exe
194,efsui,efsui.exe
195,EhStorAuthn,EhStorAuthn.exe
196,esentutl,esentutl.exe
197,eudcedit,eudcedit.exe
198,eventcreate,eventcreate.exe
199,eventvwr,eventvwr.exe
200,expand,expand.exe
201,extrac32,extrac32.exe
202,fc,fc.exe
203,fhmanagew,fhmanagew.exe
204,FileHistory,FileHistory.exe
205,find,find.exe
206,findstr,findstr.exe
207,finger,finger.exe
208,fixmapi,fixmapi.exe
209,fltMC,fltMC.exe
210,fodhelper,fodhelper.exe
211,Fondue,Fondue.exe
212,fontdrvhost,fontdrvhost.exe
213,fontview,fontview.exe
214,forfiles,forfiles.exe
215,fsavailux,fsavailux.exe
216,FsIso,FsIso.exe
217,fsquirt,fsquirt.exe
218,fsutil,fsutil.exe
219,ftp,ftp.exe
220,fvenotify,fvenotify.exe
221,fveprompt,fveprompt.exe
222,FXSCOVER,FXSCOVER.exe
223,FXSSVC,FXSSVC.exe
224,FXSUNATD,FXSUNATD.exe
225,GameBarPresenceWriter,GameBarPresenceWriter.exe
226,GamePanel,GamePanel.exe
227,GenValObj,GenValObj.exe
228,getmac,getmac.exe
229,gpresult,gpresult.exe
230,gpscript,gpscript.exe
231,gpupdate,gpupdate.exe
232,grpconv,grpconv.exe
233,hdwwiz,hdwwiz.exe
234,help,help.exe
